fg_playerID,person_id,person_full_name,fWAR,pick_round,pick_number,year,person_birth_state_province,person_height,person_weight,home_state,person_primary_position_abbreviation,person_bat_side_code,person_pitch_hand_code,mlb_played_first,mlb_played_last,high_school
1003123,113183,Doug DeCinces,40.5,18,429,1969,CA,74,190,ca,3B,R,R,1973,1987,No
54,114135,Steve Finley,40.4,11,268,1986,TN,74,195,tn,CF,L,L,1989,2007,No
923,116798,David Justice,40.4,4,94,1985,OH,75,215,oh,RF,L,L,1989,2002,No
1003619,113686,Lenny Dykstra,40.3,13,315,1981,CA,70,167,ca,CF,L,L,1985,1996,Yes
1009893,120111,Amos Otis,40.2,5,95,1965,AL,71,165,al,CF,R,R,1967,1984,Yes
609,117197,Chuck Knoblauch,39.8,1,25,1989,TX,69,170,tx,2B,R,R,1991,2002,No
1044,117484,Ray Lankford,39.8,3,72,1987,CA,71,200,ca,CF,L,L,1990,2004,No
1129,121673,Reggie Sanders,39.7,7,180,1987,SC,73,200,sc,RF,R,R,1991,2007,No
9927,458731,Brett Gardner,39.1,3,109,2005,SC,71,195,sc,LF,L,L,2008,2021,No
1000537,110559,Jesse Barfield,39,9,233,1977,IL,73,205,il,RF,R,R,1981,1992,Yes
4220,475582,Ryan Zimmerman,38.6,1,4,2005,NC,75,215,nc,3B,R,R,2005,2021,No
1000434,110456,Harold Baines,38.5,1,1,1977,MD,74,215,md,DH,L,L,1980,2001,Yes
3531,453064,Troy Tulowitzki,38.2,1,7,2005,CA,75,205,ca,SS,R,R,2006,2019,No
1000450,110481,Dusty Baker Jr.,37.9,26,504,1967,CA,74,187,ca,LF,R,R,1968,1986,Yes
48,110826,Jay Bell,37.9,1,8,1984,FL,72,185,fl,SS,R,R,1986,2003,Yes
1003041,113099,Chili Davis,37.9,11,270,1977,NA,75,210,ca,OF,S,R,1981,1999,Yes
1004557,114641,Steve Garvey,37.8,3,60,1966,FL,70,192,fl,1B,R,R,1969,1987,Yes
1014113,124435,Willie Wilson,37.8,1,18,1974,AL,75,195,nj,OF,S,R,1976,1994,Yes
1012724,122983,Jim Sundberg,37.7,6,127,1969,IL,72,195,il,C,R,R,1974,1989,Yes
1006117,116243,Kent Hrbek,37.6,17,432,1978,MN,76,235,mn,1B,L,R,1981,1994,Yes
1013554,123865,Tim Wallach,37.6,1,10,1979,CA,75,200,ca,3B,R,R,1980,1996,No
993,116974,Jason Kendall,37.4,1,23,1992,CA,72,190,ca,C,R,R,1996,2010,Yes
7870,518960,Jonathan Lucroy,37,3,101,2007,FL,72,200,fl,C,R,R,2010,2021,No
12861,543685,Anthony Rendon,36.7,1,6,2011,TX,73,200,tx,3B,R,R,2013,2023,No
1908,408236,Adrián González,36.4,1,1,2000,CA,74,215,ca,1B,L,L,2004,2018,Yes
5222,457708,Justin Upton,36.3,1,1,2005,VA,73,215,va,LF,R,R,2007,2022,Yes
1006637,116780,Wally Joyner,36.2,3,67,1983,GA,74,200,ga,1B,L,L,1986,2001,No
1327,150029,Jayson Werth,36.1,1,22,1997,IL,77,235,il,RF,R,R,2002,2017,Yes
1001863,111908,Ken Caminiti,36,3,71,1984,CA,72,200,ca,3B,S,R,1987,2001,No
1004669,114752,Kirk Gibson,35.9,1,12,1978,MI,75,215,mi,LF,L,L,1979,1995,No
1005571,115686,Richie Hebner,35.7,1,15,1966,MA,73,195,ma,3B,L,R,1968,1985,Yes
906,136767,Eric Chavez,35.7,1,10,1996,CA,73,215,ca,3B,L,R,1998,2014,Yes
32,121640,Tim Salmon,35.4,3,69,1989,CA,75,235,ca,RF,R,R,1992,2006,No
12533,543760,Marcus Semien,35.4,6,201,2011,CA,72,195,ca,2B,R,R,2013,2023,No
12856,543807,George Springer,35.3,1,11,2011,CT,75,220,ct,RF,R,R,2014,2023,No
1007957,118127,Bill Madlock,35,11,258,1969,TN,71,185,il,3B,R,R,1973,1987,Yes
1012176,122430,Lonnie Smith,35,1,3,1974,IL,69,170,ca,LF,R,R,1978,1994,Yes
1003048,113102,Eric Davis,34.9,8,201,1980,CA,75,200,ca,CF,R,R,1984,2001,Yes
5235,457759,Justin Turner,34.9,7,204,2006,CA,71,208,ca,DH,R,R,2009,2023,No
3473,519203,Anthony Rizzo,34.8,6,204,2007,FL,75,240,fl,1B,L,L,2011,2023,Yes
9785,572122,Kyle Seager,34.8,3,82,2009,NC,72,216,nc,3B,L,R,2011,2021,No
4940,518792,Jason Heyward,34.7,1,14,2007,NJ,77,240,ga,RF,L,L,2010,2023,Yes
13624,608369,Corey Seager,34.7,1,18,2012,NC,76,215,nc,SS,L,R,2015,2023,Yes
16252,607208,Trea Turner,34.6,1,13,2014,FL,74,185,fl,SS,R,R,2015,2023,No
525,117601,Derrek Lee,34.4,1,14,1993,CA,77,240,ca,1B,R,R,1997,2011,Yes
15,136267,Troy Glaus,34.3,1,3,1997,CA,77,240,ca,3B,R,R,1998,2010,No
1007331,117488,Carney Lansford,33.9,3,49,1975,CA,74,195,ca,3B,R,R,1978,1992,Yes
1002592,112651,Cecil Cooper,33.8,6,127,1968,TX,74,190,tx,1B,L,L,1971,1987,Yes
1073,112297,Jeff Cirillo,33,11,286,1991,CA,73,205,ca,3B,R,R,1994,2007,No
17678,608324,Alex Bregman,32.8,1,2,2015,NM,72,192,nm,3B,R,R,2016,2023,No
1032,114567,Ron Gant,32.7,4,100,1983,TX,72,195,tx,LF,R,R,1987,2003,Yes
1007855,118023,Greg Luzinski,32.7,1,11,1968,IL,73,225,il,LF,R,R,1970,1984,Yes
364,110229,Brady Anderson,32.6,10,257,1985,MD,73,202,md,RF,L,L,1988,2002,No
1009359,119551,Dwayne Murphy,32.3,15,359,1973,CA,73,185,ca,CF,L,R,1978,1989,Yes
5209,460086,Alex Gordon,32.3,1,2,2005,NE,73,220,ne,LF,L,R,2007,2020,No
1005044,115136,Ken Griffey,32.1,29,677,1969,PA,72,200,pa,RF,L,L,1973,1991,Yes
1001183,111221,Bob Boone,31.9,6,124,1969,CA,74,202,ca,C,R,R,1972,1990,No
8090,572761,Matt Carpenter,31.9,13,399,2009,TX,76,210,tx,DH,L,R,2011,2023,No
658,116747,Brian Jordan,31.7,20,505,1985,MD,73,225,md,RF,R,R,1992,2006,Yes
