fg_playerID,person_id,person_full_name,fWAR,pick_round,pick_number,year,person_birth_state_province,person_height,person_weight,home_state,person_primary_position_abbreviation,person_bat_side_code,person_pitch_hand_code,mlb_played_first,mlb_played_last,high_school
397,119640,Charles Nagy,30.9,1,17,1988,CT,75,200,ct,P,L,R,1990,2003,No
1000516,110540,Floyd Bannister,30.8,1,1,1976,SD,73,195,sd,P,L,L,1977,1992,No
14107,592332,Kevin Gausman,30.8,1,4,2012,CO,74,205,co,P,L,R,2013,2023,No
279,114032,Jeff Fassero,30.6,22,554,1984,IL,73,215,il,P,L,L,1991,2006,No
1006295,116424,Danny Jackson,30.6,24,599,1980,TX,72,205,co,P,R,L,1983,1997,Yes
4235,450308,Jered Weaver,30.4,1,12,2004,CA,79,210,ca,P,R,R,2006,2017,No
12768,543243,Sonny Gray,30.4,1,18,2011,TN,70,195,tn,P,R,R,2013,2023,No
1000789,110809,Tim Belcher,30.3,1,1,1983,OH,75,220,oh,P,R,R,1987,2000,No
1012218,122473,Zane Smith,30.2,3,63,1982,WI,74,195,wi,P,L,L,1984,1996,No
944,217096,Barry Zito,30.2,1,9,1999,NV,74,205,nv,P,L,L,2000,2015,No
137,113884,Scott Erickson,29.7,4,111,1989,CA,76,230,ca,P,R,R,1990,2006,No
1692,425630,Brandon Webb,29.6,8,249,2000,KY,75,230,ky,P,R,R,2003,2009,No
2717,519144,Rick Porcello,29.6,1,27,2007,NJ,77,205,nj,P,R,R,2009,2020,No
1002428,112480,Joe Coleman,29.3,1,3,1965,MA,75,195,ma,P,R,R,1965,1979,Yes
1012084,122342,John Smiley,29.3,12,300,1983,PA,76,200,pa,P,L,L,1986,1997,Yes
4676,450203,Charlie Morton,29.3,3,95,2002,NJ,77,215,or,P,R,R,2008,2023,Yes
34,121986,Aaron Sele,29.1,1,23,1991,MN,75,220,mn,P,R,R,1993,2007,No
1004001,114074,Sid Fernandez,28.9,3,73,1981,HI,73,230,hi,P,L,L,1983,1997,Yes
1005136,115242,Bill Gullickson,28.9,1,2,1977,MN,75,215,il,P,R,R,1979,1994,Yes
1172,119403,Matt Morris,28.9,1,12,1995,NY,77,225,ny,P,R,R,1997,2008,No
1007185,117340,Mike Krukow,28.8,8,184,1973,CA,77,205,ca,P,R,R,1976,1989,No
1002255,112306,Jim Clancy,28.7,4,74,1974,IL,76,220,il,P,R,R,1977,1991,Yes
75,122840,Todd Stottlemyre,28.7,5,119,1983,WA,75,195,wa,P,L,R,1988,2002,Yes
1011691,121941,Mike Scott,28.6,2,37,1976,CA,75,215,ca,P,R,R,1979,1991,No
1003993,114073,Alex Fernandez,28.5,1,24,1988,FL,73,235,fl,P,R,R,1990,2000,Yes
67,119374,Mike Morgan,28.4,1,4,1978,CA,74,225,nv,P,R,R,1978,2002,Yes
4732,430912,Matt Cain,28.1,1,25,2002,AL,75,230,ne,P,R,R,2005,2017,Yes
1003210,113272,John Denny,27.9,29,667,1970,AZ,75,190,az,P,R,R,1974,1986,Yes
430,115399,Mike Hampton,27.8,6,157,1990,FL,70,195,fl,P,R,L,1993,2010,Yes
1014170,124492,Bobby Witt,27.8,1,3,1985,MA,74,205,ma,P,R,R,1986,2001,No
1001212,111249,Chris Bosio,27.6,29,722,1981,CA,75,225,ca,P,R,R,1986,1996,Yes
5705,453311,Tim Lincecum,27.5,1,10,2006,WA,71,170,wa,P,L,R,2007,2016,No
1012519,122775,Dave Stewart,27.4,16,384,1975,CA,74,200,ca,P,R,R,1978,1995,Yes
219,123801,Tim Wakefield,27.3,8,200,1988,FL,74,210,fl,P,R,R,1992,2011,No
976,150116,Randy Wolf,27.2,2,54,1997,CA,72,205,ca,P,L,L,1999,2015,No
1163,117046,Darryl Kile,27.1,30,781,1987,CA,77,210,ca,P,R,R,1991,2002,No
1005088,115189,Kevin Gross,26.9,32,783,1979,CA,77,215,ca,P,R,R,1983,1997,Yes
535,207267,Brad Penny,26.7,5,155,1996,OK,76,270,ok,P,R,R,2000,2014,Yes
1012175,122426,Lee Smith,26.6,2,28,1975,LA,78,225,la,P,R,R,1980,1997,Yes
833,150404,Ted Lilly,26.5,13,356,1995,CA,72,195,ca,P,L,L,1999,2013,No
1008714,118900,Doc Medich,26.2,30,688,1970,PA,77,225,pa,P,R,R,1972,1982,No
1011330,121581,Dick Ruthven,26.2,1,8,1972,CA,75,190,ca,P,R,R,1973,1986,No
1004234,114315,Ken Forsch,26.1,9,168,1966,CA,76,210,ca,P,R,R,1970,1986,No
1009616,119822,Gary Nolan,26.1,1,13,1966,CA,75,197,ca,P,R,R,1967,1977,Yes
3830,445060,Ricky Nolasco,26.1,4,108,2001,CA,74,235,ca,P,R,R,2006,2017,Yes
1035,116034,Trevor Hoffman,25.9,11,288,1989,CA,72,220,ca,P,R,R,1993,2010,No
1012104,122358,Bryn Smith,25.4,49,741,1973,GA,74,205,ca,P,R,R,1981,1993,Yes
4505,519455,Jordan Zimmermann,25.4,2,67,2007,WI,74,225,wi,P,R,R,2009,2021,No
12049,543294,Kyle Hendricks,25.2,8,264,2011,CA,75,190,ca,P,R,R,2014,2023,No
1013215,123499,John Tudor,25.1,21,484,1975,NY,72,185,ny,P,L,L,1979,1990,No
1014410,124734,Geoff Zahn,25.1,34,656,1966,MD,73,180,md,P,L,L,1973,1985,No
4897,431148,Scott Kazmir,25.1,1,15,2002,TX,72,185,nc,P,L,L,2004,2023,Yes
1000546,110566,Len Barker,24.7,3,49,1973,KY,77,225,pa,P,R,R,1976,1987,Yes
1006050,116176,Charlie Hough,24.4,8,159,1966,HI,74,190,fl,P,R,R,1970,1994,Yes
1008546,118728,Scott McGregor,24.3,1,14,1972,CA,73,190,ca,P,S,L,1976,1988,Yes
441,119673,Denny Neagle,24.2,3,85,1989,MD,75,225,md,P,L,L,1991,2003,No
790,134321,Carl Pavano,24.2,13,355,1994,CT,77,265,ct,P,R,R,1998,2012,Yes
1010835,121071,Steve Renko,24.1,24,461,1965,KS,77,230,ks,P,R,R,1969,1983,No
1013911,124223,Ed Whitson,24.1,6,131,1974,TN,75,195,tn,P,R,R,1977,1991,Yes
578,123790,Billy Wagner,24,1,12,1993,VA,70,180,va,P,L,L,1995,2010,No
739,346798,Kyle Lohse,24,29,862,1996,CA,74,215,ca,P,R,R,2001,2016,Yes
13431,573186,Marcus Stroman,24,1,22,2012,NY,67,180,ny,P,R,R,2014,2023,No
1007031,117184,Bob Knepper,23.9,2,43,1972,OH,74,200,ca,P,L,L,1976,1990,Yes
304,134268,Kerry Wood,23.9,1,4,1995,TX,77,210,tx,P,R,R,1998,2012,Yes
145,115797,Pat Hentgen,23.7,5,133,1986,MI,74,195,mi,P,R,R,1991,2004,Yes
665,119488,Terry Mulholland,23.7,1,24,1984,PA,75,225,pa,P,R,L,1986,2006,No
4153,453562,Jake Arrieta,23.6,5,159,2007,MO,76,230,mo,P,R,R,2010,2021,No
1005992,116118,Rick Honeycutt,23.5,14,336,1972,TN,72,190,ga,P,L,L,1977,1997,Yes
9323,571578,Patrick Corbin,23.3,2,80,2009,NY,76,226,ny,P,L,L,2012,2023,No
503,213711,Jeff Weaver,23.1,1,14,1998,CA,77,200,ca,P,R,R,1999,2010,No
1004233,114316,Bob Forsch,23,26,593,1968,CA,76,200,ca,P,R,R,1974,1989,Yes
1001165,111196,Bill Bonham,22.9,31,597,1966,CA,75,195,ca,P,R,R,1971,1980,Yes
1003080,113105,Storm Davis,22.8,7,175,1979,TX,76,207,fl,P,R,R,1982,1994,Yes
1000012,110009,Jim Abbott,22.7,1,8,1988,MI,75,210,mi,P,L,L,1989,1999,No
1005172,115275,Moose Haas,22.7,2,30,1974,MD,72,180,md,P,R,R,1976,1987,Yes
1002989,113054,Ron Darling,22.6,1,9,1981,HI,75,195,hi,P,R,R,1983,1995,No
3340,490063,Matt Garza,22.6,1,25,2005,CA,76,220,ca,P,R,R,2006,2017,No
1012788,123053,Bill Swift,22.5,1,2,1984,ME,72,180,me,P,R,R,1985,1998,No
1002215,112267,Larry Christenson,22.2,1,3,1972,WA,76,215,wa,P,R,R,1973,1983,Yes
1244,150277,Doug Davis,22.2,10,293,1996,CA,76,215,ca,P,R,L,1999,2011,No
9132,543135,Nathan Eovaldi,22.2,11,337,2008,TX,74,217,tx,P,R,R,2011,2023,Yes
1190,124315,Woody Williams,22.1,28,732,1988,TX,72,200,tx,P,R,R,1993,2007,No
1006582,116715,Randy Jones,21.9,5,97,1972,CA,72,178,ca,P,R,L,1973,1982,No
4567,435178,Josh Johnson,21.8,4,113,2002,MN,79,250,ok,P,L,R,2005,2013,Yes
